Depth,Coverage,Integral,Number of reads
34.927083333333336,98.64583333333333,33530.0,332
position,depth,type_of_strand
423,24.0,+
424,24.0,+
425,24.0,+
426,24.0,+
427,24.0,+
428,24.0,+
429,24.0,+
430,24.0,+
431,24.0,+
432,24.0,+
433,24.0,+
434,22.0,+
435,22.0,+
436,22.0,+
437,24.0,+
438,24.0,+
439,24.0,+
440,24.0,+
441,24.0,+
442,26.0,+
443,26.0,+
444,24.0,+
445,22.0,+
446,22.0,+
447,22.0,+
448,22.0,+
449,22.0,+
450,22.0,+
451,22.0,+
452,22.0,+
453,22.0,+
454,22.0,+
455,22.0,+
456,24.0,+
457,24.0,+
458,26.0,+
459,26.0,+
460,26.0,+
461,28.0,+
462,26.0,+
463,26.0,+
464,26.0,+
465,26.0,+
466,26.0,+
467,28.0,+
468,28.0,+
469,30.0,+
470,30.0,+
471,30.0,+
472,30.0,+
473,30.0,+
474,28.0,+
475,28.0,+
476,28.0,+
477,28.0,+
478,28.0,+
479,28.0,+
480,28.0,+
481,28.0,+
482,28.0,+
483,28.0,+
484,26.0,+
485,26.0,+
486,26.0,+
487,26.0,+
488,26.0,+
489,26.0,+
490,26.0,+
491,26.0,+
492,24.0,+
493,26.0,+
494,26.0,+
495,26.0,+
496,26.0,+
497,26.0,+
498,26.0,+
499,26.0,+
500,24.0,+
501,24.0,+
502,24.0,+
503,24.0,+
504,26.0,+
505,26.0,+
506,26.0,+
507,26.0,+
508,26.0,+
509,28.0,+
510,30.0,+
511,30.0,+
512,30.0,+
513,34.0,+
514,36.0,+
515,38.0,+
516,36.0,+
517,36.0,+
518,34.0,+
519,34.0,+
520,34.0,+
521,34.0,+
522,34.0,+
523,36.0,+
524,36.0,+
525,34.0,+
526,34.0,+
527,34.0,+
528,36.0,+
529,36.0,+
530,36.0,+
531,34.0,+
532,34.0,+
533,34.0,+
534,34.0,+
535,34.0,+
536,34.0,+
537,34.0,+
538,32.0,+
539,32.0,+
540,32.0,+
541,32.0,+
542,32.0,+
543,30.0,+
544,30.0,+
545,30.0,+
546,30.0,+
547,30.0,+
548,30.0,+
549,30.0,+
550,30.0,+
551,30.0,+
552,30.0,+
553,30.0,+
554,30.0,+
555,30.0,+
556,30.0,+
557,28.0,+
558,28.0,+
559,28.0,+
560,28.0,+
561,28.0,+
562,26.0,+
563,26.0,+
564,26.0,+
565,26.0,+
566,26.0,+
567,28.0,+
568,28.0,+
569,28.0,+
570,26.0,+
571,26.0,+
572,26.0,+
573,26.0,+
574,26.0,+
575,26.0,+
576,26.0,+
577,26.0,+
578,26.0,+
579,26.0,+
580,26.0,+
581,26.0,+
582,26.0,+
583,26.0,+
584,26.0,+
585,28.0,+
586,30.0,+
587,30.0,+
588,30.0,+
589,30.0,+
590,30.0,+
591,30.0,+
592,30.0,+
593,30.0,+
594,28.0,+
595,28.0,+
596,28.0,+
597,32.0,+
598,32.0,+
599,32.0,+
600,32.0,+
601,32.0,+
602,32.0,+
603,32.0,+
604,32.0,+
605,30.0,+
606,30.0,+
607,30.0,+
608,30.0,+
609,30.0,+
610,28.0,+
611,26.0,+
612,26.0,+
613,26.0,+
614,22.0,+
615,20.0,+
616,18.0,+
617,18.0,+
618,18.0,+
619,18.0,+
620,18.0,+
621,18.0,+
622,18.0,+
623,18.0,+
624,18.0,+
625,18.0,+
626,18.0,+
627,20.0,+
628,20.0,+
629,18.0,+
630,18.0,+
631,18.0,+
632,18.0,+
633,18.0,+
634,18.0,+
635,18.0,+
636,20.0,+
637,20.0,+
638,20.0,+
639,20.0,+
640,20.0,+
641,20.0,+
642,20.0,+
643,20.0,+
644,22.0,+
645,22.0,+
646,22.0,+
647,22.0,+
648,22.0,+
649,22.0,+
650,22.0,+
651,22.0,+
652,22.0,+
653,22.0,+
654,22.0,+
655,22.0,+
656,22.0,+
657,22.0,+
658,22.0,+
659,22.0,+
660,20.0,+
661,20.0,+
662,20.0,+
663,20.0,+
664,20.0,+
665,20.0,+
666,20.0,+
667,20.0,+
668,18.0,+
669,16.0,+
670,16.0,+
671,16.0,+
672,16.0,+
673,16.0,+
674,16.0,+
675,16.0,+
676,16.0,+
677,16.0,+
678,16.0,+
679,16.0,+
680,16.0,+
681,18.0,+
682,18.0,+
683,18.0,+
684,18.0,+
685,18.0,+
686,16.0,+
687,14.0,+
688,14.0,+
689,14.0,+
690,14.0,+
691,14.0,+
692,14.0,+
693,14.0,+
694,14.0,+
695,16.0,+
696,16.0,+
697,16.0,+
698,14.0,+
699,14.0,+
700,14.0,+
701,14.0,+
702,14.0,+
703,14.0,+
704,14.0,+
705,16.0,+
706,16.0,+
707,16.0,+
708,16.0,+
709,16.0,+
710,16.0,+
711,16.0,+
712,16.0,+
713,16.0,+
714,18.0,+
715,18.0,+
716,18.0,+
717,18.0,+
718,18.0,+
719,18.0,+
720,18.0,+
721,18.0,+
722,18.0,+
723,18.0,+
724,20.0,+
725,18.0,+
726,18.0,+
727,18.0,+
728,16.0,+
729,16.0,+
730,16.0,+
731,18.0,+
732,18.0,+
733,18.0,+
734,18.0,+
735,18.0,+
736,18.0,+
737,16.0,+
738,16.0,+
739,16.0,+
740,16.0,+
741,16.0,+
742,16.0,+
743,16.0,+
744,16.0,+
745,14.0,+
746,14.0,+
747,14.0,+
748,18.0,+
749,18.0,+
750,18.0,+
751,18.0,+
752,18.0,+
753,18.0,+
754,18.0,+
755,18.0,+
756,18.0,+
757,18.0,+
758,18.0,+
759,18.0,+
760,18.0,+
761,18.0,+
762,18.0,+
763,18.0,+
764,18.0,+
765,18.0,+
766,18.0,+
767,18.0,+
768,18.0,+
769,18.0,+
770,18.0,+
771,18.0,+
772,18.0,+
773,18.0,+
774,18.0,+
775,20.0,+
776,20.0,+
777,20.0,+
778,20.0,+
779,20.0,+
780,20.0,+
781,22.0,+
782,20.0,+
783,20.0,+
784,20.0,+
785,20.0,+
786,20.0,+
787,20.0,+
788,20.0,+
789,20.0,+
790,20.0,+
791,20.0,+
792,20.0,+
793,20.0,+
794,20.0,+
795,20.0,+
796,18.0,+
797,18.0,+
798,18.0,+
799,18.0,+
800,18.0,+
801,18.0,+
802,18.0,+
803,18.0,+
804,18.0,+
805,18.0,+
806,16.0,+
807,18.0,+
808,18.0,+
809,18.0,+
810,18.0,+
811,18.0,+
812,18.0,+
813,18.0,+
814,18.0,+
815,16.0,+
816,16.0,+
817,16.0,+
818,18.0,+
819,18.0,+
820,18.0,+
821,18.0,+
822,18.0,+
823,18.0,+
824,20.0,+
825,18.0,+
826,18.0,+
827,18.0,+
828,18.0,+
829,18.0,+
830,18.0,+
831,18.0,+
832,16.0,+
833,16.0,+
834,16.0,+
835,16.0,+
836,16.0,+
837,16.0,+
838,16.0,+
839,18.0,+
840,18.0,+
841,18.0,+
842,18.0,+
843,18.0,+
844,18.0,+
845,18.0,+
846,18.0,+
847,18.0,+
848,18.0,+
849,14.0,+
850,14.0,+
851,16.0,+
852,16.0,+
853,16.0,+
854,16.0,+
855,16.0,+
856,16.0,+
857,16.0,+
858,16.0,+
859,16.0,+
860,16.0,+
861,16.0,+
862,16.0,+
863,16.0,+
864,16.0,+
865,16.0,+
866,16.0,+
867,16.0,+
868,16.0,+
869,16.0,+
870,16.0,+
871,16.0,+
872,16.0,+
873,16.0,+
874,16.0,+
875,16.0,+
876,14.0,+
877,14.0,+
878,14.0,+
879,14.0,+
880,14.0,+
881,14.0,+
882,12.0,+
883,12.0,+
884,12.0,+
885,12.0,+
886,12.0,+
887,12.0,+
888,12.0,+
889,12.0,+
890,12.0,+
891,12.0,+
892,12.0,+
893,12.0,+
894,12.0,+
895,12.0,+
896,12.0,+
897,12.0,+
898,12.0,+
899,12.0,+
900,10.0,+
901,10.0,+
902,10.0,+
903,10.0,+
904,10.0,+
905,10.0,+
906,10.0,+
907,10.0,+
908,8.0,+
909,8.0,+
910,8.0,+
911,8.0,+
912,8.0,+
913,8.0,+
914,8.0,+
915,8.0,+
916,8.0,+
917,8.0,+
918,8.0,+
919,6.0,+
920,6.0,+
921,6.0,+
922,6.0,+
923,6.0,+
924,6.0,+
925,4.0,+
926,4.0,+
927,4.0,+
928,4.0,+
929,4.0,+
930,4.0,+
931,4.0,+
932,4.0,+
933,4.0,+
934,4.0,+
935,4.0,+
936,4.0,+
937,4.0,+
938,4.0,+
939,4.0,+
940,2.0,+
941,2.0,+
942,2.0,+
943,2.0,+
944,2.0,+
945,2.0,+
946,2.0,+
947,2.0,+
948,2.0,+
949,2.0,+
950,2.0,+
951,2.0,+
952,0.0,+
953,0.0,+
954,0.0,+
955,0.0,+
956,0.0,+
957,0.0,+
958,0.0,+
0,-0.0,-
1,-0.0,-
2,-0.0,-
3,-0.0,-
4,-0.0,-
5,-0.0,-
6,-0.0,-
7,-0.0,-
8,-0.0,-
9,-0.0,-
10,-0.0,-
11,-0.0,-
12,-0.0,-
13,-2.0,-
14,-2.0,-
15,-4.0,-
16,-4.0,-
17,-4.0,-
18,-4.0,-
19,-4.0,-
20,-4.0,-
21,-4.0,-
22,-4.0,-
23,-4.0,-
24,-4.0,-
25,-4.0,-
26,-4.0,-
27,-4.0,-
28,-4.0,-
29,-4.0,-
30,-6.0,-
31,-6.0,-
32,-6.0,-
33,-6.0,-
34,-6.0,-
35,-6.0,-
36,-6.0,-
37,-6.0,-
38,-6.0,-
39,-6.0,-
40,-6.0,-
41,-6.0,-
42,-6.0,-
43,-6.0,-
44,-6.0,-
45,-6.0,-
46,-6.0,-
47,-6.0,-
48,-6.0,-
49,-6.0,-
50,-8.0,-
51,-8.0,-
52,-8.0,-
53,-8.0,-
54,-8.0,-
55,-8.0,-
56,-8.0,-
57,-8.0,-
58,-8.0,-
59,-8.0,-
60,-8.0,-
61,-8.0,-
62,-8.0,-
63,-8.0,-
64,-8.0,-
65,-8.0,-
66,-8.0,-
67,-10.0,-
68,-10.0,-
69,-10.0,-
70,-10.0,-
71,-10.0,-
72,-10.0,-
73,-10.0,-
74,-10.0,-
75,-10.0,-
76,-10.0,-
77,-10.0,-
78,-10.0,-
79,-10.0,-
80,-10.0,-
81,-12.0,-
82,-12.0,-
83,-12.0,-
84,-12.0,-
85,-12.0,-
86,-12.0,-
87,-12.0,-
88,-12.0,-
89,-12.0,-
90,-12.0,-
91,-12.0,-
92,-12.0,-
93,-12.0,-
94,-12.0,-
95,-12.0,-
96,-12.0,-
97,-12.0,-
98,-12.0,-
99,-12.0,-
100,-12.0,-
101,-12.0,-
102,-12.0,-
103,-12.0,-
104,-12.0,-
105,-14.0,-
106,-14.0,-
107,-14.0,-
108,-14.0,-
109,-14.0,-
110,-14.0,-
111,-14.0,-
112,-14.0,-
113,-14.0,-
114,-12.0,-
115,-12.0,-
116,-10.0,-
117,-10.0,-
118,-12.0,-
119,-12.0,-
120,-12.0,-
121,-12.0,-
122,-12.0,-
123,-12.0,-
124,-12.0,-
125,-14.0,-
126,-14.0,-
127,-14.0,-
128,-14.0,-
129,-14.0,-
130,-14.0,-
131,-12.0,-
132,-12.0,-
133,-12.0,-
134,-12.0,-
135,-12.0,-
136,-12.0,-
137,-12.0,-
138,-12.0,-
139,-12.0,-
140,-12.0,-
141,-12.0,-
142,-12.0,-
143,-12.0,-
144,-12.0,-
145,-12.0,-
146,-12.0,-
147,-12.0,-
148,-12.0,-
149,-12.0,-
150,-12.0,-
151,-10.0,-
152,-10.0,-
153,-12.0,-
154,-12.0,-
155,-14.0,-
156,-14.0,-
157,-14.0,-
158,-14.0,-
159,-14.0,-
160,-16.0,-
161,-16.0,-
162,-16.0,-
163,-16.0,-
164,-16.0,-
165,-18.0,-
166,-18.0,-
167,-18.0,-
168,-16.0,-
169,-16.0,-
170,-16.0,-
171,-16.0,-
172,-16.0,-
173,-16.0,-
174,-16.0,-
175,-18.0,-
176,-18.0,-
177,-18.0,-
178,-18.0,-
179,-18.0,-
180,-18.0,-
181,-22.0,-
182,-20.0,-
183,-20.0,-
184,-20.0,-
185,-20.0,-
186,-20.0,-
187,-20.0,-
188,-22.0,-
189,-22.0,-
190,-24.0,-
191,-24.0,-
192,-24.0,-
193,-24.0,-
194,-24.0,-
195,-24.0,-
196,-26.0,-
197,-26.0,-
198,-28.0,-
199,-28.0,-
200,-28.0,-
201,-28.0,-
202,-28.0,-
203,-28.0,-
204,-28.0,-
205,-28.0,-
206,-26.0,-
207,-26.0,-
208,-26.0,-
209,-26.0,-
210,-26.0,-
211,-28.0,-
212,-28.0,-
213,-28.0,-
214,-28.0,-
215,-28.0,-
216,-28.0,-
217,-28.0,-
218,-28.0,-
219,-26.0,-
220,-26.0,-
221,-28.0,-
222,-30.0,-
223,-30.0,-
224,-30.0,-
225,-30.0,-
226,-28.0,-
227,-28.0,-
228,-28.0,-
229,-28.0,-
230,-28.0,-
231,-28.0,-
232,-28.0,-
233,-28.0,-
234,-28.0,-
235,-28.0,-
236,-28.0,-
237,-28.0,-
238,-28.0,-
239,-28.0,-
240,-28.0,-
241,-28.0,-
242,-28.0,-
243,-28.0,-
244,-28.0,-
245,-28.0,-
246,-28.0,-
247,-28.0,-
248,-28.0,-
249,-28.0,-
250,-28.0,-
251,-28.0,-
252,-28.0,-
253,-28.0,-
254,-26.0,-
255,-26.0,-
256,-26.0,-
257,-26.0,-
258,-26.0,-
259,-26.0,-
260,-26.0,-
261,-24.0,-
262,-24.0,-
263,-24.0,-
264,-26.0,-
265,-26.0,-
266,-24.0,-
267,-24.0,-
268,-24.0,-
269,-24.0,-
270,-24.0,-
271,-24.0,-
272,-24.0,-
273,-24.0,-
274,-24.0,-
275,-24.0,-
276,-22.0,-
277,-22.0,-
278,-22.0,-
279,-22.0,-
280,-22.0,-
281,-22.0,-
282,-18.0,-
283,-18.0,-
284,-18.0,-
285,-18.0,-
286,-18.0,-
287,-18.0,-
288,-18.0,-
289,-16.0,-
290,-16.0,-
291,-14.0,-
292,-14.0,-
293,-14.0,-
294,-14.0,-
295,-14.0,-
296,-14.0,-
297,-12.0,-
298,-12.0,-
299,-10.0,-
300,-10.0,-
301,-10.0,-
302,-10.0,-
303,-10.0,-
304,-12.0,-
305,-12.0,-
306,-14.0,-
307,-14.0,-
308,-14.0,-
309,-14.0,-
310,-14.0,-
311,-18.0,-
312,-16.0,-
313,-16.0,-
314,-16.0,-
315,-16.0,-
316,-16.0,-
317,-16.0,-
318,-16.0,-
319,-16.0,-
320,-16.0,-
321,-16.0,-
322,-16.0,-
323,-14.0,-
324,-14.0,-
325,-16.0,-
326,-16.0,-
327,-16.0,-
328,-16.0,-
329,-16.0,-
330,-16.0,-
331,-16.0,-
332,-16.0,-
333,-16.0,-
334,-16.0,-
335,-16.0,-
336,-16.0,-
337,-16.0,-
338,-16.0,-
339,-16.0,-
340,-16.0,-
341,-16.0,-
342,-18.0,-
343,-18.0,-
344,-20.0,-
345,-20.0,-
346,-20.0,-
347,-20.0,-
348,-20.0,-
349,-20.0,-
350,-20.0,-
351,-20.0,-
352,-20.0,-
353,-20.0,-
354,-20.0,-
355,-20.0,-
356,-20.0,-
357,-18.0,-
358,-18.0,-
359,-20.0,-
360,-20.0,-
361,-20.0,-
362,-20.0,-
363,-20.0,-
364,-20.0,-
365,-18.0,-
366,-18.0,-
367,-18.0,-
368,-20.0,-
369,-20.0,-
370,-20.0,-
371,-20.0,-
372,-20.0,-
373,-20.0,-
374,-20.0,-
375,-22.0,-
376,-22.0,-
377,-22.0,-
378,-22.0,-
379,-22.0,-
380,-22.0,-
381,-22.0,-
382,-22.0,-
383,-22.0,-
384,-22.0,-
385,-22.0,-
386,-22.0,-
387,-22.0,-
388,-22.0,-
389,-22.0,-
390,-22.0,-
391,-22.0,-
392,-22.0,-
393,-22.0,-
394,-22.0,-
395,-22.0,-
396,-24.0,-
397,-24.0,-
398,-24.0,-
399,-24.0,-
400,-24.0,-
401,-24.0,-
402,-24.0,-
403,-24.0,-
404,-24.0,-
405,-22.0,-
406,-22.0,-
407,-22.0,-
408,-22.0,-
409,-22.0,-
410,-22.0,-
411,-22.0,-
412,-18.0,-
413,-18.0,-
414,-18.0,-
415,-18.0,-
416,-18.0,-
417,-18.0,-
418,-18.0,-
419,-18.0,-
420,-18.0,-
421,-18.0,-
422,-18.0,-
423,-16.0,-
424,-16.0,-
425,-16.0,-
426,-14.0,-
427,-14.0,-
428,-14.0,-
429,-14.0,-
430,-14.0,-
431,-14.0,-
432,-14.0,-
433,-14.0,-
434,-14.0,-
435,-14.0,-
436,-14.0,-
437,-14.0,-
438,-14.0,-
439,-14.0,-
440,-14.0,-
441,-14.0,-
442,-14.0,-
443,-12.0,-
444,-12.0,-
445,-10.0,-
446,-10.0,-
447,-10.0,-
448,-10.0,-
449,-10.0,-
450,-10.0,-
451,-10.0,-
452,-10.0,-
453,-10.0,-
454,-10.0,-
455,-10.0,-
456,-10.0,-
457,-10.0,-
458,-10.0,-
459,-10.0,-
460,-8.0,-
461,-8.0,-
462,-8.0,-
463,-8.0,-
464,-8.0,-
465,-8.0,-
466,-8.0,-
467,-8.0,-
468,-8.0,-
469,-6.0,-
470,-6.0,-
471,-6.0,-
472,-6.0,-
473,-6.0,-
474,-6.0,-
475,-6.0,-
476,-4.0,-
477,-4.0,-
478,-4.0,-
479,-6.0,-
480,-6.0,-
481,-6.0,-
482,-6.0,-
483,-6.0,-
484,-6.0,-
485,-6.0,-
486,-6.0,-
487,-6.0,-
488,-6.0,-
489,-6.0,-
490,-6.0,-
491,-6.0,-
492,-6.0,-
493,-6.0,-
494,-6.0,-
495,-6.0,-
496,-6.0,-
497,-4.0,-
498,-4.0,-
499,-6.0,-
500,-6.0,-
501,-6.0,-
502,-6.0,-
503,-8.0,-
504,-8.0,-
505,-8.0,-
506,-8.0,-
507,-8.0,-
508,-6.0,-
509,-6.0,-
510,-6.0,-
511,-8.0,-
512,-8.0,-
513,-8.0,-
514,-8.0,-
515,-8.0,-
516,-8.0,-
517,-8.0,-
518,-8.0,-
519,-8.0,-
520,-8.0,-
521,-8.0,-
522,-8.0,-
523,-8.0,-
524,-8.0,-
525,-8.0,-
526,-8.0,-
527,-8.0,-
528,-8.0,-
529,-8.0,-
530,-8.0,-
531,-8.0,-
532,-8.0,-
533,-8.0,-
534,-8.0,-
535,-8.0,-
536,-10.0,-
537,-10.0,-
538,-10.0,-
539,-10.0,-
540,-12.0,-
541,-12.0,-
542,-12.0,-
543,-12.0,-
544,-12.0,-
545,-12.0,-
546,-12.0,-
547,-12.0,-
548,-12.0,-
549,-12.0,-
550,-12.0,-
551,-14.0,-
552,-14.0,-
553,-14.0,-
554,-14.0,-
555,-14.0,-
556,-14.0,-
557,-14.0,-
558,-14.0,-
559,-14.0,-
560,-14.0,-
561,-14.0,-
562,-16.0,-
563,-16.0,-
564,-18.0,-
565,-20.0,-
566,-20.0,-
567,-20.0,-
568,-22.0,-
569,-22.0,-
570,-22.0,-
571,-22.0,-
572,-22.0,-
573,-22.0,-
574,-22.0,-
575,-22.0,-
576,-22.0,-
577,-22.0,-
578,-22.0,-
579,-22.0,-
580,-20.0,-
581,-20.0,-
582,-20.0,-
583,-20.0,-
584,-20.0,-
585,-20.0,-
586,-20.0,-
587,-20.0,-
588,-20.0,-
589,-20.0,-
590,-22.0,-
591,-22.0,-
592,-22.0,-
593,-22.0,-
594,-22.0,-
595,-22.0,-
596,-22.0,-
597,-22.0,-
598,-24.0,-
599,-24.0,-
600,-22.0,-
601,-22.0,-
602,-22.0,-
603,-22.0,-
604,-20.0,-
605,-20.0,-
606,-20.0,-
607,-20.0,-
608,-20.0,-
609,-20.0,-
610,-20.0,-
611,-20.0,-
612,-18.0,-
613,-18.0,-
614,-18.0,-
615,-18.0,-
616,-18.0,-
617,-18.0,-
618,-18.0,-
619,-18.0,-
620,-18.0,-
621,-20.0,-
622,-22.0,-
623,-22.0,-
624,-22.0,-
625,-22.0,-
626,-22.0,-
627,-22.0,-
628,-22.0,-
629,-22.0,-
630,-22.0,-
631,-22.0,-
632,-22.0,-
633,-22.0,-
634,-22.0,-
635,-22.0,-
636,-22.0,-
637,-20.0,-
638,-20.0,-
639,-20.0,-
640,-20.0,-
641,-18.0,-
642,-18.0,-
643,-18.0,-
644,-18.0,-
645,-18.0,-
646,-18.0,-
647,-18.0,-
648,-18.0,-
649,-20.0,-
650,-20.0,-
651,-20.0,-
652,-18.0,-
653,-18.0,-
654,-18.0,-
655,-20.0,-
656,-20.0,-
657,-20.0,-
658,-22.0,-
659,-22.0,-
660,-22.0,-
661,-22.0,-
662,-22.0,-
663,-20.0,-
664,-20.0,-
665,-18.0,-
666,-16.0,-
667,-16.0,-
668,-16.0,-
669,-14.0,-
670,-14.0,-
671,-14.0,-
672,-14.0,-
673,-14.0,-
674,-14.0,-
675,-16.0,-
676,-16.0,-
677,-16.0,-
678,-16.0,-
679,-16.0,-
680,-16.0,-
681,-16.0,-
682,-16.0,-
683,-16.0,-
684,-16.0,-
685,-16.0,-
686,-16.0,-
687,-16.0,-
688,-18.0,-
689,-18.0,-
690,-18.0,-
